epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,688.978,1.61082,1.16516,1.16968,0.06892,0.93961,0.89745,0.48777,1.44542,2.47618,1.15066,0.000600543,0.000600543,0.000600543
61,700.172,1.6221,1.15316,1.11307,0.06892,0.93961,0.89745,0.48777,1.44542,2.47618,1.15066,0.000604121,0.000604121,0.000604121
62,711.301,1.48322,1.09522,1.11842,0.06892,0.93961,0.89745,0.48777,1.44542,2.47618,1.15066,0.000607478,0.000607478,0.000607478
63,722.659,1.5679,1.11191,1.12383,0.88255,0.90762,0.92186,0.45982,1.54473,2.44478,1.21271,0.000610615,0.000610615,0.000610615
64,733.956,1.52617,1.09469,1.12936,0.88255,0.90762,0.92186,0.45982,1.54473,2.44478,1.21271,0.000613533,0.000613533,0.000613533
65,744.795,1.43708,1.14575,1.17314,0.88255,0.90762,0.92186,0.45982,1.54473,2.44478,1.21271,0.00061623,0.00061623,0.00061623
66,755.954,1.55752,1.13499,1.11429,0.95315,0.81495,0.92783,0.4674,1.54653,2.37983,1.20369,0.000618707,0.000618707,0.000618707
67,767.199,1.56384,1.09437,1.14609,0.95315,0.81495,0.92783,0.4674,1.54653,2.37983,1.20369,0.000620964,0.000620964,0.000620964
68,777.768,1.52503,1.19571,1.23858,0.95315,0.81495,0.92783,0.4674,1.54653,2.37983,1.20369,0.000623001,0.000623001,0.000623001
69,788.938,1.50677,1.09555,1.14808,0.95076,0.69016,0.92799,0.51182,1.45673,2.28961,1.14791,0.000624818,0.000624818,0.000624818
70,800.322,1.50516,1.09864,1.13663,0.95076,0.69016,0.92799,0.51182,1.45673,2.28961,1.14791,0.000626415,0.000626415,0.000626415
71,811.602,1.44548,1.04894,1.13169,0.95076,0.69016,0.92799,0.51182,1.45673,2.28961,1.14791,0.000627792,0.000627792,0.000627792
72,822.463,1.46298,1.11359,1.18989,0.98156,0.55757,0.94081,0.55396,1.35876,2.18941,1.09161,0.000628949,0.000628949,0.000628949
73,833.904,1.51675,1.06117,1.14826,0.98156,0.55757,0.94081,0.55396,1.35876,2.18941,1.09161,0.000629886,0.000629886,0.000629886
74,845.286,1.47757,1.02083,1.08308,0.98156,0.55757,0.94081,0.55396,1.35876,2.18941,1.09161,0.000630603,0.000630603,0.000630603
75,856.769,1.51307,1.01635,1.0885,0.98748,0.46056,0.93922,0.54989,1.39044,2.12127,1.09128,0.0006311,0.0006311,0.0006311
76,867.974,1.46307,0.99407,1.10582,0.98748,0.46056,0.93922,0.54989,1.39044,2.12127,1.09128,0.000631376,0.000631376,0.000631376
77,879.404,1.45427,0.97691,1.09996,0.98748,0.46056,0.93922,0.54989,1.39044,2.12127,1.09128,0.000631433,0.000631433,0.000631433
78,890.794,1.40608,0.96632,1.06796,1,0.57918,0.95577,0.5581,1.42384,2.05536,1.08956,0.00063127,0.00063127,0.00063127
79,901.792,1.44547,1.03764,1.14399,1,0.57918,0.95577,0.5581,1.42384,2.05536,1.08956,0.000630886,0.000630886,0.000630886
80,912.608,1.3795,1.05197,1.15666,1,0.57918,0.95577,0.5581,1.42384,2.05536,1.08956,0.000630283,0.000630283,0.000630283
81,924.106,1.46866,0.99018,1.105,0.99219,0.73524,0.94824,0.53188,1.47083,2.00904,1.0997,0.000629459,0.000629459,0.000629459
82,935.564,1.59774,1.05092,1.09363,0.99219,0.73524,0.94824,0.53188,1.47083,2.00904,1.0997,0.000628416,0.000628416,0.000628416
83,946.954,1.40847,0.95357,1.06546,0.99219,0.73524,0.94824,0.53188,1.47083,2.00904,1.0997,0.000627152,0.000627152,0.000627152
84,958.177,1.41983,0.9913,1.1197,0.98989,0.78688,0.96849,0.56601,1.40192,1.93366,1.06834,0.000625668,0.000625668,0.000625668
85,969.329,1.50505,0.99766,1.08928,0.98989,0.78688,0.96849,0.56601,1.40192,1.93366,1.06834,0.000623965,0.000623965,0.000623965
